Item Name,Category,Brand Name,Device Age,Device Condition,Material Recovery Rate,Device Type,Year of Manufacture,Market Value of Metals,Cost of Recovery,Profit,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g),Current Metal Value ($),Recycling Score
Canon EOS R5,Cat2,Dell,10,Average,78.39,Consumer Electronics,1999,449.13,19.96,429.17,4.03,41.63,1.59,0.92,0.26,0.54,5.0,2.86,1.26,522.649341,4
Pioneer AV Receiver,Cat4,Apple,14,Broken,94.7,Consumer Electronics,2001,518.45,29.04,489.41,4.14,1.1,2.5,7.41,1.2,0.59,8.71,3.09,0.53,607.4732639999999,4
Dell XPS 13,Cat1,Philips,22,Average,57.13,IT Equipment,1993,449.41,7.53,441.88,2.82,46.92,1.06,9.33,0.55,0.18,8.96,1.36,5.63,272.62221600000004,3
iPad Pro,Cat4,Panasonic,14,Average,84.92,IT Equipment,2023,262.36,20.86,241.5,0.78,48.83,1.77,3.28,0.76,0.25,1.71,3.23,2.54,223.774303,4
PS5,Cat2,Panasonic,14,Average,71.35,IT Equipment,1997,190.97,26.53,164.44,0.17,15.07,1.4,4.38,0.49,0.22,5.38,2.27,0.97,161.72241700000004,4
Pioneer AV Receiver,Cat4,HP,14,Good,66.01,Consumer Electronics,2010,608.48,37.71,570.77,4.48,13.97,2.32,0.68,0.46,0.19,13.03,1.72,6.65,355.90769700000004,4
Surface Laptop 4,Cat2,LG,21,Average,72.94,IT Equipment,2021,558.41,33.57,524.84,2.43,42.53,0.54,5.23,1.5,0.98,5.81,2.05,6.73,762.5284149999999,4
ThinkPad X1,Cat4,LG,5,Broken,51.64,Consumer Electronics,2010,483.9,37.24,446.66,4.96,3.22,2.39,3.29,0.9,0.35,0.49,4.61,2.63,494.23952599999996,4
PS5,Cat3,Samsung,9,Good,58.69,IT Equipment,2013,356.84,15.94,340.9,0.3,5.0,0.23,1.97,1.32,0.53,8.07,1.95,5.89,390.04014,5
LG OLED TV,Cat3,Panasonic,12,Good,90.98,Appliance,1997,551.82,47.96,503.86,1.84,32.39,2.79,8.96,1.92,0.68,13.9,2.66,2.61,585.1159210000001,5
Canon EOS R5,Cat2,Dell,11,Average,88.26,Appliance,2005,426.86,26.82,400.04,1.12,32.3,1.14,8.87,1.93,0.73,2.84,1.43,5.86,578.122528,4
HP Spectre,Cat2,Toshiba,17,Average,80.63,IT Equipment,2006,518.15,37.05,481.1,2.89,30.7,2.26,3.89,1.6,0.76,3.45,0.64,4.97,665.151534,4
Dell XPS 13,Cat2,Panasonic,30,Broken,50.21,Consumer Electronics,1999,346.11,14.01,332.1,1.32,35.55,2.48,8.39,0.89,0.42,2.34,0.27,4.17,355.17569699999996,4
Dell XPS 13,Cat4,Panasonic,29,Good,78.53,Consumer Electronics,2003,436.21,19.21,417.0,3.63,0.21,0.39,7.5,0.56,0.59,5.07,0.62,4.12,547.171507,4
Nest Thermostat,Cat3,Apple,17,Broken,61.52,IT Equipment,2006,374.77,28.05,346.72,0.28,16.46,0.89,1.33,0.39,0.87,10.31,1.04,3.82,534.262204,5
Nest Thermostat,Cat3,Toshiba,6,Average,90.83,IT Equipment,2012,554.54,36.21,518.33,2.08,19.19,2.69,7.39,1.82,0.18,12.95,4.54,6.24,305.34588900000006,5
Harman Kardon Speaker,Cat2,Samsung,27,Good,60.45,Appliance,2015,448.99,46.18,402.81,2.63,12.9,2.26,2.59,0.53,0.78,3.14,3.99,2.89,606.3100039999999,4
Toshiba Fire TV,Cat2,Samsung,22,Broken,89.68,IT Equipment,1995,484.73,9.94,474.79,2.32,18.26,1.59,5.36,0.1,0.43,14.76,0.16,5.12,367.431136,4
ThinkPad X1,Cat3,Lenovo,15,Broken,78.51,Consumer Electronics,2009,365.66,25.33,340.33,2.33,48.19,0.96,3.02,0.29,0.85,2.35,1.62,1.39,617.956987,5
iPhone 11,Cat1,Panasonic,9,Average,76.68,Consumer Electronics,1992,420.9,10.15,410.75,1.7,44.34,1.7,3.43,1.01,0.55,1.85,0.78,6.65,454.594158,3
Fitbit Versa 3,Cat1,Samsung,18,Average,90.47,IT Equipment,1998,402.54,42.86,359.68,3.02,14.61,0.82,3.19,0.23,0.21,10.33,2.05,3.25,282.070335,3
Pioneer AV Receiver,Cat4,Sony,1,Broken,90.49,Consumer Electronics,2017,513.35,15.17,498.18,3.01,29.17,1.14,0.32,0.49,0.88,1.32,4.85,6.05,679.845435,4
DJI Mavic Air 2,Cat4,Apple,3,Good,75.87,Appliance,2006,408.41,42.75,365.66,0.26,26.71,0.53,0.03,1.28,0.74,9.76,4.7,4.21,506.394325,4
LG Sound Bar,Cat3,Panasonic,26,Average,55.72,Appliance,2015,359.75,9.34,350.41,2.37,6.69,2.31,7.67,0.08,0.68,3.97,1.99,0.93,511.91414900000007,5
PS5,Cat1,Dell,9,Average,67.47,Appliance,2018,276.79,16.36,260.43,2.14,37.12,1.05,8.38,1.45,0.23,3.35,0.15,0.53,315.43774,3
iPhone 11,Cat3,Dell,4,Average,69.5,Consumer Electronics,2002,368.7,8.74,359.96,0.43,9.72,0.44,8.58,1.89,0.9,4.84,0.39,4.32,638.8798340000001,5
iPad Pro,Cat2,Apple,8,Broken,80.37,IT Equipment,1991,341.36,47.28,294.08,3.91,16.4,0.02,6.69,1.38,0.23,1.5,2.24,1.35,398.117924,4
Fitbit Versa 3,Cat3,Apple,10,Good,65.23,IT Equipment,2022,431.93,46.52,385.41,0.58,43.16,0.7,1.04,1.48,0.47,14.33,1.58,4.64,378.312608,5
Amazon Echo,Cat4,Toshiba,1,Good,50.68,Consumer Electronics,2009,282.63,36.62,246.01,1.14,14.57,2.44,4.84,0.67,0.01,3.13,3.56,3.75,99.567781,4
Nest Thermostat,Cat1,Philips,6,Good,72.89,IT Equipment,1999,426.46,20.96,405.5,3.94,47.16,1.18,0.68,1.79,0.24,3.61,1.88,1.77,428.09634800000003,3
Galaxy Note 20,Cat3,Lenovo,19,Good,57.31,Appliance,2023,500.9,34.79,466.11,2.87,47.74,1.72,7.85,0.19,0.99,8.58,2.82,1.32,719.891482,5
Panasonic Viera,Cat2,LG,6,Good,92.66,Consumer Electronics,1993,493.15,27.43,465.72,4.13,10.77,0.02,9.81,0.75,0.31,13.3,4.95,1.86,421.26585499999993,4
Sony Alpha A7,Cat1,Panasonic,10,Good,58.71,IT Equipment,2022,388.15,17.35,370.8,0.37,2.33,2.38,9.03,0.59,0.81,11.67,3.16,1.3,515.645721,3
MacBook Air,Cat2,Toshiba,19,Good,65.79,Appliance,1991,373.6,21.58,352.02,3.44,23.42,2.05,7.7,1.37,0.03,3.31,0.85,2.58,261.18954999999994,4
Toshiba Fire TV,Cat3,Philips,12,Good,70.08,Consumer Electronics,2001,509.37,26.96,482.41,1.78,17.21,2.82,4.4,0.28,0.58,9.95,2.21,6.39,437.28989099999995,5
Apple Watch Series 6,Cat1,Samsung,20,Broken,81.24,Appliance,2018,325.06,6.64,318.42,0.39,4.73,0.15,0.83,0.63,0.83,9.1,1.61,2.6,529.0251209999999,3
Pioneer AV Receiver,Cat3,Apple,10,Good,52.08,Appliance,1993,393.6,41.52,352.08,1.45,19.02,1.05,3.11,1.51,0.66,10.61,0.49,1.52,531.2976540000001,5
Apple Watch Series 6,Cat4,Toshiba,17,Average,85.7,Appliance,2023,422.9,43.97,378.93,2.65,13.63,2.02,9.21,0.89,0.25,12.1,3.13,1.05,322.681353,4
Fitbit Versa 3,Cat1,Sony,14,Broken,65.68,IT Equipment,1999,196.6,29.6,167.0,0.16,33.87,1.71,2.77,0.32,0.44,0.36,1.92,1.69,278.40225699999996,3
Harman Kardon Speaker,Cat4,Sony,24,Average,83.74,IT Equipment,2011,509.41,16.4,493.01,4.54,27.19,1.31,5.35,1.35,0.89,1.04,4.8,0.61,806.3820450000001,4
Bose SoundLink,Cat2,Dell,14,Good,92.3,Appliance,2004,452.81,36.9,415.91,4.57,3.02,2.72,4.78,2.0,0.03,0.45,1.18,3.77,350.8911580000001,4
GoPro Hero 9,Cat1,HP,16,Average,65.06,IT Equipment,2024,457.02,30.76,426.26,1.21,28.85,1.43,6.25,1.73,0.95,12.27,1.8,0.68,697.667575,3
Galaxy S21,Cat3,Dell,9,Broken,89.41,Appliance,1999,295.36,38.48,256.88,3.69,17.06,0.28,1.73,0.05,0.04,3.22,0.91,2.4,207.43069600000004,5
MacBook Air,Cat3,Panasonic,20,Good,58.16,Appliance,2018,584.89,23.65,561.24,3.73,49.19,2.13,6.91,0.55,0.94,0.61,2.72,6.69,753.452797,5
iPad Pro,Cat2,Sony,21,Average,70.89,Appliance,2024,530.5,24.39,506.11,2.47,0.27,1.48,4.15,1.63,0.77,14.38,4.38,1.29,651.1817030000001,4
Pixel 5,Cat1,Lenovo,7,Average,60.1,Appliance,1996,340.1,6.42,333.68,2.35,42.04,0.05,6.17,1.4,0.26,10.01,1.85,0.16,339.79529999999994,3
Panasonic Viera,Cat4,HP,4,Average,65.49,Appliance,2006,541.5,38.7,502.8,3.77,49.73,1.12,3.29,1.43,0.18,13.03,0.21,4.88,366.45761099999993,4
Google Home,Cat4,Panasonic,8,Average,79.85,Consumer Electronics,2014,415.41,33.36,382.05,2.15,5.02,2.27,2.06,1.38,0.22,9.26,3.13,2.81,307.433518,4
Galaxy Note 20,Cat2,Philips,19,Broken,54.52,Consumer Electronics,1999,438.77,26.22,412.55,2.23,46.15,2.5,0.38,0.76,0.43,1.22,4.74,5.21,398.867119,4
Surface Laptop 4,Cat2,Lenovo,9,Average,87.57,Consumer Electronics,2020,612.1,29.85,582.25,3.7,25.66,2.63,8.08,0.79,0.94,14.02,0.65,1.84,764.72971,4
iPhone 11,Cat4,Lenovo,26,Good,91.49,Consumer Electronics,2022,515.14,33.98,481.16,3.09,45.29,1.87,1.73,0.06,0.35,13.68,3.95,3.41,357.398125,4
Toshiba Fire TV,Cat4,Panasonic,15,Average,56.24,Consumer Electronics,2017,565.11,32.88,532.23,3.61,33.81,1.69,2.07,0.57,0.74,10.75,2.83,3.34,633.5460329999999,4
Lenovo Yoga,Cat2,Sony,24,Average,53.7,Consumer Electronics,2002,541.3,16.65,524.65,3.69,27.48,2.75,2.04,1.27,0.93,6.43,2.6,0.56,784.10203,4
Galaxy Note 20,Cat3,Apple,26,Good,84.59,Consumer Electronics,2018,530.35,36.59,493.76,4.4,49.15,0.64,9.59,0.49,0.27,10.95,0.07,5.13,398.337397,5
GoPro Hero 9,Cat4,Samsung,30,Average,71.39,Consumer Electronics,1993,406.02,23.84,382.18,1.25,22.84,2.05,2.16,0.35,0.94,6.7,4.89,1.14,620.3285040000001,4
Bose SoundLink,Cat3,Dell,15,Average,68.87,IT Equipment,2003,418.97,20.44,398.53,2.68,12.15,1.99,0.34,0.69,0.46,9.49,4.01,0.62,433.68549099999996,5
Roku Ultra,Cat4,Panasonic,25,Broken,64.34,Appliance,2007,502.27,15.84,486.43,2.35,34.08,2.07,1.79,0.51,0.88,2.38,4.94,5.25,648.966314,4
Dell XPS 13,Cat2,Toshiba,29,Good,84.01,IT Equipment,1997,402.3,37.33,364.97,1.0,31.16,0.19,0.26,0.99,0.51,9.08,1.44,6.17,395.37187400000005,4
iPhone 12,Cat2,Sony,20,Average,51.98,Appliance,2010,584.18,46.65,537.53,3.47,42.43,2.21,8.59,0.71,0.7,8.68,4.15,4.31,611.659715,4
Sony Alpha A7,Cat3,HP,24,Average,73.51,Appliance,2022,677.25,45.96,631.29,4.86,49.59,1.43,7.3,1.23,0.52,11.49,2.43,6.15,604.4482230000001,5
DJI Mavic Air 2,Cat4,Samsung,15,Broken,70.42,Appliance,1995,548.8,25.33,523.47,3.59,10.73,2.72,4.58,1.14,0.8,4.81,2.59,3.6,697.954699,4
Surface Laptop 4,Cat3,LG,28,Broken,88.45,IT Equipment,1997,538.83,13.65,525.18,2.09,9.47,1.78,7.76,0.1,0.95,8.04,2.78,6.77,654.295483,5
Galaxy Note 20,Cat4,Dell,24,Broken,72.85,Consumer Electronics,2006,447.48,23.49,423.99,1.17,38.2,0.12,2.38,1.9,0.87,12.11,2.85,1.75,658.3676099999999,4
Canon EOS R5,Cat4,Apple,13,Good,74.19,Consumer Electronics,2016,541.68,36.97,504.71,2.83,27.4,2.01,1.23,0.85,0.4,9.24,4.56,6.08,415.85160600000006,4
Samsung Galaxy Watch 3,Cat1,Apple,20,Average,75.5,IT Equipment,2017,476.48,9.18,467.3,2.34,46.31,1.08,0.3,0.88,0.45,8.94,4.32,4.57,421.385127,3
Samsung QLED TV,Cat2,Lenovo,18,Good,72.32,Consumer Electronics,2008,476.0,41.07,434.93,0.77,14.65,2.5,2.59,1.37,0.86,12.71,0.32,3.37,606.0124169999999,4
iPhone 11,Cat4,LG,15,Broken,66.55,Consumer Electronics,2008,381.52,6.82,374.7,0.43,35.01,1.55,0.05,0.83,0.99,0.02,4.77,4.6,634.3962769999999,4
Lenovo Yoga,Cat1,Lenovo,24,Broken,53.09,IT Equipment,2000,623.54,44.49,579.05,3.07,47.01,1.66,1.65,1.71,0.89,8.83,4.8,4.66,754.199205,3
LG Sound Bar,Cat3,Apple,22,Good,77.03,Consumer Electronics,1995,364.3,28.05,336.25,1.15,24.75,0.32,5.02,1.85,0.52,5.3,4.79,3.03,454.30552900000004,5
Harman Kardon Speaker,Cat1,HP,9,Average,86.28,Appliance,1990,372.22,38.91,333.31,3.61,28.11,1.74,7.62,0.07,0.19,1.72,1.48,3.65,291.4999030000001,3
Nintendo Switch,Cat1,Philips,27,Broken,60.21,Consumer Electronics,2019,384.43,10.25,374.18,1.68,10.49,0.31,3.29,0.09,0.95,9.23,4.91,0.5,632.2018009999999,3
Pixel 5,Cat4,Dell,29,Average,70.5,IT Equipment,2018,552.59,43.89,508.7,4.51,27.68,2.46,6.37,0.09,0.22,11.33,1.81,4.35,354.609666,4
Galaxy S21,Cat4,Samsung,25,Good,56.43,Appliance,1991,338.24,11.93,326.31,3.7,11.93,0.09,4.21,1.61,0.44,1.88,0.51,0.35,520.354001,4
Denon AV Receiver,Cat1,Samsung,14,Broken,77.9,Appliance,2004,360.24,8.97,351.27,0.09,9.68,2.81,0.95,0.33,0.54,3.78,3.02,6.38,333.905422,3
iPhone 12,Cat4,Sony,13,Good,65.44,Consumer Electronics,2015,570.88,35.25,535.63,2.77,43.67,1.62,0.15,1.51,0.74,7.96,1.59,6.07,642.8290489999999,4
Samsung Galaxy Watch 3,Cat3,Sony,25,Broken,87.67,IT Equipment,2014,652.25,43.8,608.45,4.76,32.53,2.47,8.49,1.6,0.75,6.64,0.53,5.17,751.500853,5
Galaxy Note 20,Cat3,LG,14,Average,55.57,Consumer Electronics,2014,255.47,28.76,226.71,0.46,10.11,0.76,2.49,0.31,0.06,10.77,3.74,2.6,74.535299,5
GoPro Hero 9,Cat1,Toshiba,25,Good,76.06,Consumer Electronics,1998,397.77,24.48,373.29,1.23,28.31,1.8,7.88,0.27,0.35,9.89,3.83,4.27,277.197673,3
HP Spectre,Cat2,Samsung,17,Average,73.71,Consumer Electronics,2022,524.55,39.13,485.42,2.05,5.46,0.14,9.82,0.54,0.81,12.76,4.67,5.56,594.7155720000001,4
Google Home,Cat2,Toshiba,13,Good,86.16,Consumer Electronics,2009,588.06,35.45,552.61,4.88,16.96,0.52,7.6,1.9,0.24,8.61,2.17,6.23,480.249462,4
Harman Kardon Speaker,Cat4,Lenovo,12,Average,71.37,Consumer Electronics,1990,403.75,20.49,383.26,2.84,22.58,0.78,5.4,1.68,0.69,0.17,0.91,3.35,625.799696,4
Sony Bravia TV,Cat2,HP,27,Average,85.8,IT Equipment,2011,658.44,7.78,650.66,5.0,42.81,1.18,6.09,0.09,0.57,12.92,4.09,5.31,578.7033189999999,4
Panasonic Viera,Cat3,Toshiba,23,Broken,84.97,IT Equipment,2016,522.54,38.81,483.73,4.83,23.67,0.11,6.25,1.37,0.63,8.2,2.6,1.34,672.160165,5
Sony Alpha A7,Cat3,Philips,4,Average,67.89,Appliance,2006,567.83,30.25,537.58,2.91,17.13,2.19,8.59,1.46,0.66,13.89,0.1,3.74,601.2722150000001,5
Fitbit Versa 3,Cat2,Apple,4,Average,73.95,Appliance,2006,470.71,14.09,456.62,3.25,13.67,1.24,8.18,1.58,0.48,8.43,3.33,1.92,520.5180530000001,4
Galaxy S21,Cat1,Samsung,7,Broken,73.83,IT Equipment,2017,365.62,32.6,333.02,1.38,32.07,2.07,8.39,0.26,0.09,6.57,3.57,5.58,135.296667,3
Galaxy Tab S7,Cat4,Lenovo,19,Broken,65.47,Appliance,2010,373.74,42.3,331.44,2.51,9.44,1.87,6.56,0.7,0.34,6.47,1.37,2.39,357.117572,4
Samsung Galaxy Watch 3,Cat3,Panasonic,29,Average,64.7,Appliance,2014,486.56,49.76,436.8,4.58,30.35,2.35,6.99,0.88,0.16,0.98,2.98,4.91,365.874173,5
Galaxy Note 20,Cat3,Sony,4,Average,82.0,IT Equipment,1999,407.35,38.58,368.77,1.55,2.99,1.23,3.22,0.35,0.89,14.04,1.47,0.04,605.830167,5
Apple Watch Series 6,Cat1,HP,29,Broken,64.11,IT Equipment,2013,471.05,16.29,454.76,2.31,39.25,2.68,4.94,1.41,0.57,0.61,4.73,4.81,517.882483,3
Panasonic Viera,Cat4,Apple,6,Broken,56.15,Appliance,2010,495.61,26.55,469.06,4.23,16.08,2.88,5.15,0.4,0.28,9.14,1.63,2.23,391.8059180000001,4
ThinkPad X1,Cat4,LG,11,Broken,87.41,Appliance,2020,568.02,9.99,558.03,4.48,0.27,0.26,9.22,1.3,0.53,10.54,3.13,4.33,594.2796330000001,4
MacBook Air,Cat4,Lenovo,2,Good,59.53,Consumer Electronics,1992,317.35,42.86,274.49,0.23,15.67,0.03,7.1,1.9,0.84,4.2,3.38,2.19,594.821233,4
LG Sound Bar,Cat1,Samsung,16,Average,77.99,Appliance,2023,511.44,16.72,494.72,3.91,42.54,2.83,2.91,0.42,0.82,2.41,1.93,2.41,686.5395779999999,3
Apple Watch Series 6,Cat1,Dell,25,Average,50.18,Consumer Electronics,2007,375.93,24.32,351.61,0.09,10.73,1.6,6.71,1.4,0.29,13.69,0.99,4.72,247.230299,3
Xbox Series X,Cat4,Samsung,17,Good,52.32,IT Equipment,2006,452.69,44.89,407.8,2.79,25.99,2.67,4.24,1.64,0.3,8.38,1.5,2.13,398.824905,4
LG OLED TV,Cat3,Lenovo,21,Broken,94.62,Appliance,2015,451.33,22.43,428.9,1.46,27.21,0.32,2.74,1.63,0.36,9.44,4.91,5.98,366.43267099999997,5
Galaxy Tab S7,Cat1,Philips,2,Good,85.54,IT Equipment,2004,354.91,19.52,335.39,0.08,34.32,0.95,9.08,1.12,0.38,5.33,4.16,6.55,283.117946,3
Denon AV Receiver,Cat2,Panasonic,28,Good,73.69,Consumer Electronics,2001,462.78,17.99,444.79,3.77,21.2,2.99,7.96,1.25,0.53,3.57,3.63,0.28,557.834568,4
Samsung Galaxy Watch 3,Cat4,Lenovo,27,Broken,64.49,Consumer Electronics,2003,421.33,36.01,385.32,1.24,7.39,1.84,3.56,1.1,0.68,13.48,3.94,0.38,510.88439900000003,4
iPad Pro,Cat2,Apple,5,Good,67.52,Consumer Electronics,2023,551.43,44.89,506.54,3.41,16.23,2.82,7.09,1.62,0.33,5.4,3.35,6.1,445.86134500000003,4
Lenovo Yoga,Cat1,Toshiba,22,Broken,57.61,Consumer Electronics,2003,391.82,46.99,344.83,1.45,46.71,0.44,3.11,0.77,0.17,11.99,4.33,4.06,210.942893,3
Pioneer AV Receiver,Cat3,LG,6,Good,82.72,Appliance,2005,460.24,7.76,452.48,3.98,31.03,2.66,7.23,0.44,0.2,5.57,0.66,3.68,335.812411,5
Harman Kardon Speaker,Cat4,Sony,2,Good,87.1,Consumer Electronics,2000,390.0,42.29,347.71,3.45,8.66,1.46,6.33,0.24,0.53,5.13,0.7,1.59,487.18426999999997,4
Pioneer AV Receiver,Cat2,Dell,5,Average,68.28,Appliance,2011,548.01,37.65,510.36,2.89,47.32,1.85,3.89,1.73,0.58,7.28,0.04,6.04,568.933014,4
LG OLED TV,Cat2,HP,5,Average,54.71,IT Equipment,2003,502.07,13.48,488.59,2.03,44.33,2.64,9.63,1.73,0.54,9.85,1.66,3.29,503.988921,4
Samsung QLED TV,Cat1,Apple,12,Broken,83.07,Consumer Electronics,2001,300.48,47.57,252.91,0.41,38.52,0.18,5.28,0.44,0.14,11.7,3.72,3.71,124.746032,3
HP Spectre,Cat1,Apple,11,Good,91.13,Consumer Electronics,2006,281.7,38.18,243.52,0.54,17.58,0.47,9.82,0.12,0.18,12.48,3.25,2.54,136.90763,3
ThinkPad X1,Cat3,Panasonic,10,Broken,64.58,Appliance,1999,619.28,19.6,599.68,4.52,28.36,1.27,0.87,0.39,0.56,8.9,4.31,6.4,565.532376,5
Surface Laptop 4,Cat2,Apple,24,Average,67.75,IT Equipment,2003,385.36,6.35,379.01,3.53,38.96,2.36,5.28,0.39,0.26,1.97,2.94,1.77,345.049344,4
LG Sound Bar,Cat4,Panasonic,10,Broken,54.59,Consumer Electronics,2014,512.87,27.78,485.09,2.64,9.35,0.87,3.01,1.1,0.83,8.31,0.63,5.41,665.4485430000001,4
Galaxy Note 20,Cat2,Panasonic,13,Average,86.09,Appliance,1994,559.39,22.39,537.0,4.15,33.95,0.63,1.03,1.64,0.02,14.02,2.22,5.44,304.48963699999996,4
Samsung Galaxy Watch 3,Cat1,Philips,24,Broken,94.9,Appliance,2023,601.52,46.66,554.86,2.37,35.04,2.2,9.12,1.48,0.83,10.13,3.36,5.58,673.460716,3
iPhone 12,Cat4,Philips,7,Good,62.86,Consumer Electronics,2014,502.44,18.93,483.51,2.86,23.04,2.11,7.63,1.58,0.83,10.21,0.28,0.87,702.2885779999999,4
Amazon Echo,Cat3,Dell,15,Average,86.79,Consumer Electronics,2015,349.95,28.72,321.23,1.7,23.48,0.62,8.26,0.83,0.04,14.38,0.42,2.9,151.84249200000002,5
Galaxy Note 20,Cat4,Sony,1,Broken,61.16,Consumer Electronics,2021,468.38,7.92,460.46,2.2,9.63,1.6,4.5,1.78,0.5,3.83,1.02,6.89,491.68286700000004,4
Galaxy S21,Cat4,Apple,9,Average,86.63,Appliance,1999,682.89,44.85,638.04,2.84,37.44,2.04,3.46,1.64,0.91,13.81,4.91,5.37,750.9429860000001,4
Samsung Blu-ray Player,Cat1,Apple,22,Good,61.17,IT Equipment,2008,345.5,7.31,338.19,1.46,11.85,2.01,2.12,0.53,0.4,3.8,3.05,3.88,331.021085,3
iPad Pro,Cat2,Apple,29,Broken,64.21,Appliance,2023,545.2,12.94,532.26,4.82,6.54,1.46,4.45,0.79,0.83,4.65,1.43,2.87,756.004628,4
Bose SoundLink,Cat1,Apple,25,Broken,74.21,Appliance,2022,628.97,34.95,594.02,4.01,8.04,0.93,1.3,1.01,0.85,9.13,2.13,6.74,739.6116280000001,3
Surface Pro 7,Cat2,Sony,26,Average,61.47,IT Equipment,1999,399.39,32.93,366.46,1.09,27.16,2.83,2.22,0.42,0.61,11.49,3.44,0.68,427.578534,4
Garmin Forerunner,Cat3,Philips,4,Good,57.52,Consumer Electronics,1991,477.33,36.26,441.07,3.6,26.48,1.54,5.54,0.1,0.17,9.71,1.26,5.44,281.323996,5
Harman Kardon Speaker,Cat2,Sony,5,Good,67.3,Consumer Electronics,1990,541.07,27.0,514.07,3.0,0.2,2.64,4.17,0.8,0.86,12.31,3.93,0.83,684.9056579999999,4
Pixel 5,Cat3,Sony,12,Broken,85.93,Appliance,2005,480.59,15.82,464.77,4.31,2.1,1.82,6.4,1.4,0.51,2.04,2.32,2.99,580.4542219999998,5
Nintendo Switch,Cat3,Samsung,14,Broken,65.44,Appliance,2005,315.56,28.03,287.53,1.26,37.48,0.99,8.03,1.94,0.83,0.32,2.12,0.23,642.179482,5
Denon AV Receiver,Cat1,Toshiba,21,Broken,51.13,Consumer Electronics,1993,424.68,41.89,382.79,2.6,43.3,2.08,1.77,0.07,0.18,5.31,0.56,6.7,236.709446,3
Sony Bravia TV,Cat1,Apple,9,Average,79.46,IT Equipment,1992,376.29,30.33,345.96,4.93,8.3,1.04,5.4,0.65,0.23,0.2,1.37,1.58,409.680152,3
JBL Charge 4,Cat2,Panasonic,2,Average,57.31,Appliance,2020,435.87,13.95,421.92,3.0,47.62,0.11,0.14,1.5,0.66,0.54,2.71,4.41,606.6510460000001,4
Yamaha Receiver,Cat3,Panasonic,10,Broken,53.62,Consumer Electronics,2015,471.26,40.89,430.37,1.96,28.34,1.25,6.79,0.57,0.35,12.62,1.71,5.85,328.98558599999996,5
Garmin Forerunner,Cat2,Panasonic,20,Average,58.4,Appliance,1991,503.94,14.9,489.04,3.94,25.25,0.34,0.86,0.18,0.75,13.23,1.38,1.22,633.596833,4
DJI Mavic Air 2,Cat3,LG,7,Broken,86.4,Consumer Electronics,1994,488.2,27.18,461.02,3.79,7.01,2.22,4.68,1.18,0.62,8.66,1.02,0.78,606.2327969999999,5
iPad Pro,Cat2,Toshiba,19,Good,75.23,Appliance,2023,418.29,24.15,394.14,0.59,49.64,1.2,4.45,1.9,0.72,12.14,3.01,1.13,544.5052459999999,4
Dell XPS 13,Cat1,Toshiba,2,Broken,61.1,Consumer Electronics,2008,261.24,9.78,251.46,0.13,22.09,0.64,7.69,1.65,0.81,3.02,2.42,0.28,559.4624370000001,3
Galaxy Tab S7,Cat3,Samsung,19,Good,89.72,Appliance,2014,245.09,29.79,215.3,0.09,48.26,1.58,1.2,0.05,0.65,2.74,1.09,2.08,380.844224,5
Dell XPS 13,Cat2,Samsung,19,Good,59.63,Consumer Electronics,2011,395.54,46.27,349.27,1.33,34.13,0.86,3.18,0.1,0.11,12.37,3.28,6.02,135.158493,4
Galaxy S21,Cat3,Panasonic,15,Average,76.92,Appliance,1990,492.73,36.2,456.53,3.59,18.12,2.01,8.48,0.25,0.18,8.4,4.84,4.75,294.82725400000004,5
Pixel 5,Cat4,Apple,10,Average,62.16,Consumer Electronics,2020,425.98,17.55,408.43,0.56,41.9,1.82,2.04,1.11,0.45,11.18,1.34,5.39,346.710254,4
iPad Pro,Cat4,Apple,14,Average,73.37,Consumer Electronics,2006,456.41,32.11,424.3,0.82,42.96,1.41,9.18,0.81,0.54,9.85,2.53,6.64,394.878888,4
iPhone 12,Cat1,Philips,24,Good,61.67,Appliance,2002,330.13,43.26,286.87,2.83,9.16,0.77,9.19,0.17,0.2,5.57,1.87,2.86,263.63767200000007,3
iPhone 12,Cat4,Sony,17,Average,72.55,Appliance,2009,424.13,47.5,376.63,2.46,25.57,0.4,6.02,1.12,0.23,7.18,2.68,5.79,313.706493,4
Pixel 5,Cat2,Lenovo,1,Broken,75.59,IT Equipment,2003,439.07,21.81,417.26,0.22,43.5,2.39,6.57,0.85,0.44,9.14,4.42,6.35,310.797192,4
Surface Laptop 4,Cat4,Apple,23,Average,60.5,Consumer Electronics,2007,468.53,13.23,455.3,2.01,8.45,1.23,4.18,1.49,0.79,4.99,3.79,4.44,632.5858689999999,4
Galaxy S21,Cat1,Panasonic,7,Broken,54.58,IT Equipment,2004,601.62,40.06,561.56,3.31,15.36,2.77,3.37,1.97,0.43,14.32,4.39,2.83,516.786744,3
Fitbit Versa 3,Cat4,Apple,27,Broken,93.31,Appliance,2020,336.86,13.29,323.57,1.77,40.54,0.19,3.72,0.31,0.14,8.97,0.45,4.95,184.64677000000006,4
Oculus Quest 2,Cat1,LG,1,Broken,72.74,Consumer Electronics,1994,275.89,8.41,267.48,0.05,7.71,0.04,8.18,0.03,0.53,4.81,1.0,6.52,308.534535,3
ThinkPad X1,Cat2,Toshiba,8,Average,52.39,Consumer Electronics,2003,363.07,39.32,323.75,2.92,31.9,1.24,8.62,0.23,0.13,0.5,0.45,6.67,231.77484,4
