Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($)
Fridge,Cat1,9.01,4.64,4.57,9.6,4.23,5.07,5.13,4.58,6.57,690.39
Monitor,Cat4,7.77,4.69,6.29,5.78,0.67,1.44,9.84,4.8,7.49,721.53
Microwave Oven,Cat2,3.19,8.37,8.85,1.24,7.7,4.37,9.87,2.73,4.01,635.92
Audio Equipment,Cat4,7.69,1.97,4.74,8.32,0.19,1.01,9.59,7.14,6.84,632.98
Speaker,Cat4,4.7,5.76,8.86,3.44,3.64,2.03,1.41,3.02,3.25,709.06
Vacuum Cleaner,Cat2,5.54,0.24,4.1,4.82,9.98,1.16,7.4,8.81,7.1,492.19
Air Conditioner,Cat1,1.52,6.91,7.96,3.26,6.07,7.82,2.21,9.9,1.61,505.38
Iron,Cat2,5.94,6.05,8.25,5.65,4.51,4.58,2.88,1.18,6.93,737.53
Washing Machine,Cat1,5.21,1.35,8.94,0.65,9.01,8.34,6.35,2.48,1.53,736.07
Tablet,Cat3,7.86,5.8,2.95,5.55,0.2,0.57,8.97,9.22,0.17,547.61
TV,Cat4,1.68,2.26,1.25,8.26,6.94,8.86,7.32,8.24,0.8,151.08
TV,Cat4,3.02,6.4,4.68,6.67,1.64,5.21,3.99,3.11,8.84,402.94
Washing Machine,Cat1,9.48,7.14,2.8,6.81,5.12,7.15,6.52,6.74,4.44,620.13
Laptop,Cat3,9.9,5.17,3.25,1.21,9.24,2.69,3.18,9.26,3.46,663.73
Toaster,Cat2,6.98,7.98,7.92,2.09,9.84,4.34,5.5,7.26,2.77,772.12
Stove,Cat1,2.13,3.36,4.78,5.51,9.05,3.08,5.71,4.91,7.41,362.89
Vacuum Cleaner,Cat2,6.43,2.24,2.45,9.65,7.56,3.85,5.08,4.62,1.74,448.68
Stove,Cat1,1.82,2.08,8.9,4.1,7.18,1.85,2.91,1.99,3.7,567.63
Toaster,Cat2,4.74,1.58,6.17,5.83,7.15,3.68,9.03,1.23,0.44,564.57
iPhone 11,Cat3,8.83,6.63,0.64,7.43,0.78,0.13,2.11,1.15,4.74,471.98
Toaster,Cat2,3.47,1.37,8.42,8.65,6.83,6.17,4.57,3.8,5.35,622.65
Vacuum Cleaner,Cat2,8.89,9.61,7.28,4.74,0.64,0.42,2.7,1.18,7.72,832.41
Stove,Cat1,4.18,8.88,8.06,1.83,7.82,1.87,6.84,0.25,2.63,642.48
Stove,Cat1,0.36,0.71,3.82,2.67,4.65,2.25,4.56,10.0,3.01,222.88
Monitor,Cat4,2.08,3.32,2.95,4.02,0.48,1.47,5.4,3.47,2.12,262.2
Fridge,Cat1,2.87,7.48,5.64,8.2,4.49,4.0,1.49,7.04,6.52,447.64
Fridge,Cat1,3.33,1.25,7.86,4.3,7.59,4.72,1.81,2.79,2.62,585.68
Speaker,Cat4,3.83,1.23,1.13,5.12,4.49,3.97,6.92,0.84,5.04,249.58
Stove,Cat1,0.55,2.88,6.93,6.47,0.85,3.58,7.82,6.09,4.89,400.07
Speaker,Cat4,0.31,7.48,4.77,5.31,1.01,1.8,6.94,7.92,9.69,275.15
Audio Equipment,Cat4,6.6,4.16,8.37,9.26,2.89,0.46,5.7,3.08,6.56,775.2
Monitor,Cat4,2.97,6.19,6.99,5.02,7.0,7.74,5.36,2.77,8.02,524.25
iPhone 11,Cat3,5.6,9.6,0.34,0.44,2.93,3.0,8.91,0.12,7.77,298.98
Vacuum Cleaner,Cat2,4.79,5.04,1.0,2.51,1.38,7.34,5.16,6.14,8.35,291.99
Speaker,Cat4,8.43,4.08,3.69,1.93,7.66,5.83,4.56,9.79,7.01,614.48
Speaker,Cat4,0.24,0.73,5.5,1.68,7.25,2.93,5.54,2.56,3.07,307.06
Air Conditioner,Cat1,9.97,4.88,2.67,7.79,7.76,1.58,9.76,2.4,4.86,635.88
Stove,Cat1,5.87,3.4,0.12,4.34,7.37,5.83,2.33,8.95,1.27,297.02
Toaster,Cat2,9.46,5.03,6.15,1.47,6.09,4.78,9.48,0.57,1.83,797.41
Stove,Cat1,6.04,1.3,2.77,7.68,9.26,4.95,8.96,2.94,2.92,446.17
Air Conditioner,Cat1,3.02,7.43,8.91,1.31,7.69,4.63,7.01,7.4,0.42,630.25
Iron,Cat2,5.53,2.57,2.4,7.9,9.15,8.81,3.57,6.7,6.74,402.08
TV,Cat4,2.22,2.95,8.75,7.62,2.33,4.4,1.13,2.49,3.6,579.72
Audio Equipment,Cat4,4.76,9.84,8.29,3.85,8.98,3.37,4.5,7.82,2.19,683.9
Air Conditioner,Cat1,2.48,6.02,1.63,0.47,3.81,2.76,2.75,7.18,9.25,212.75
Stove,Cat1,2.51,8.66,0.58,1.36,3.92,2.09,5.76,2.71,2.78,159.46
Laptop,Cat3,8.82,3.52,4.48,2.25,2.23,1.53,8.45,1.53,9.02,675.5
Toaster,Cat2,7.91,1.57,3.34,9.34,1.6,2.4,4.64,3.03,0.35,568.59
Microwave Oven,Cat2,4.64,4.71,5.21,6.27,8.33,4.51,5.12,6.69,7.83,510.05
Iron,Cat2,1.73,7.3,9.4,5.18,9.5,1.5,0.54,5.15,1.14,593.01
Monitor,Cat4,5.03,8.38,9.3,9.44,7.62,2.67,3.93,9.84,7.72,750.42
Fridge,Cat1,6.42,8.57,3.81,4.98,5.01,1.47,7.33,6.81,1.73,524.6
Washing Machine,Cat1,3.56,3.92,4.82,3.98,9.88,3.16,6.63,7.7,0.67,435.63
Fridge,Cat1,7.94,7.34,6.13,5.63,6.96,3.3,4.45,2.98,7.06,722.96
Smartphone,Cat3,2.69,5.73,4.95,7.06,1.02,2.7,4.48,0.69,6.79,400.75
iPhone 11,Cat3,5.97,5.62,5.76,8.67,2.43,1.02,2.33,6.11,3.68,605.24
Air Conditioner,Cat1,7.91,5.83,2.92,8.54,3.96,5.58,6.24,8.25,0.89,548.62
Toaster,Cat2,7.56,3.75,7.48,9.52,0.73,5.24,5.55,3.1,2.33,774.51
Smartphone,Cat3,4.26,1.66,9.65,8.2,7.25,2.6,5.72,9.45,8.86,727.48
Speaker,Cat4,2.28,1.65,0.56,7.07,1.24,7.7,9.56,0.89,3.71,143.14
Fridge,Cat1,2.73,6.36,5.08,7.31,4.41,2.65,0.98,4.62,9.22,410.09
Air Conditioner,Cat1,8.41,3.27,9.16,5.55,8.09,7.13,9.99,7.5,7.07,906.16
TV,Cat4,1.1,8.88,9.75,9.2,4.39,7.93,2.45,4.6,7.18,581.76
Stove,Cat1,6.24,1.55,9.88,8.11,2.15,2.49,3.41,1.89,6.47,836.95
Washing Machine,Cat1,1.92,8.0,7.39,7.83,3.04,4.27,7.48,2.2,3.38,495.01
Smartphone,Cat3,6.13,7.24,4.73,1.38,0.78,1.53,6.78,5.37,5.38,558.83
Speaker,Cat4,9.24,1.4,8.72,6.46,0.94,5.83,1.91,4.27,4.58,922.17
iPhone 11,Cat3,9.29,7.77,8.57,5.05,3.09,2.7,7.26,1.11,3.58,920.21
Smartphone,Cat3,2.34,7.28,9.8,2.6,7.01,6.12,1.62,0.67,7.92,644.46
Microwave Oven,Cat2,3.27,5.71,0.49,6.43,6.98,1.83,3.8,2.56,9.81,190.33
Smartphone,Cat3,0.16,9.54,1.94,8.56,6.99,0.56,0.68,4.0,9.78,117.38
Monitor,Cat4,8.13,2.15,0.38,9.49,7.91,2.86,9.66,2.93,1.42,421.23
Toaster,Cat2,8.86,6.42,3.1,2.41,9.54,3.54,7.88,7.66,1.03,605.32
Air Conditioner,Cat1,4.97,3.5,0.4,2.22,7.22,1.44,9.35,6.51,8.5,267.77
iPhone 11,Cat3,5.69,8.19,8.68,5.62,9.52,4.71,4.91,6.47,2.1,749.58
Laptop,Cat3,9.83,9.22,0.67,0.61,4.66,5.74,3.63,2.48,0.76,524.36
iPhone 11,Cat3,1.92,0.31,3.27,2.91,0.76,4.86,0.71,5.0,5.52,269.83
Vacuum Cleaner,Cat2,8.53,0.75,9.42,1.51,3.92,3.6,6.47,1.02,3.65,924.41
Microwave Oven,Cat2,1.79,8.62,8.6,7.34,9.43,7.37,5.67,3.94,7.58,553.96
Tablet,Cat3,3.11,7.44,2.65,8.55,2.02,3.88,3.45,2.75,1.88,299.17
Smartphone,Cat3,4.47,6.36,8.0,8.64,9.56,0.55,9.45,2.17,5.55,652.07
Microwave Oven,Cat2,5.58,1.35,9.55,6.63,4.24,3.27,3.83,3.3,3.27,786.77
Iron,Cat2,4.76,0.6,1.96,3.39,9.41,3.09,1.06,9.1,8.88,339.44
iPhone 11,Cat3,7.12,10.0,8.49,4.62,8.39,1.8,7.01,9.99,0.97,810.63
Laptop,Cat3,1.75,2.66,3.14,1.28,9.2,4.82,7.81,6.46,0.56,255.97
Smartphone,Cat3,2.26,2.04,3.84,6.78,5.39,4.78,2.81,3.1,6.53,318.13
Toaster,Cat2,2.48,2.73,3.2,2.92,3.11,8.03,3.61,2.22,2.22,295.07
Smartphone,Cat3,3.41,3.42,8.22,0.25,5.4,7.11,4.22,9.47,0.21,610.16
Laptop,Cat3,9.95,2.96,9.79,7.01,8.42,8.73,3.09,0.35,6.41,1015.44
Tablet,Cat3,1.09,8.98,7.45,7.21,6.41,0.76,3.87,3.85,1.5,457.99
iPhone 11,Cat3,2.04,2.01,6.52,1.93,9.18,8.42,5.05,2.24,5.28,451.02
Laptop,Cat3,1.35,1.17,1.03,7.58,3.84,4.13,1.84,5.84,5.19,122.32
Vacuum Cleaner,Cat2,8.47,9.26,5.76,7.16,6.48,3.94,5.24,8.22,1.6,730.28
Air Conditioner,Cat1,3.2,0.14,1.3,1.43,2.61,5.73,4.7,1.91,4.17,227.11
Speaker,Cat4,9.62,6.73,5.59,3.92,8.65,2.46,3.55,3.38,8.84,776.23
Speaker,Cat4,5.81,3.74,5.9,0.21,2.78,1.08,6.75,4.18,1.69,603.81
Fridge,Cat1,2.59,9.26,9.08,7.19,5.73,1.45,6.13,8.74,8.85,619.19
Washing Machine,Cat1,1.65,1.08,1.53,5.13,1.62,8.76,4.93,5.66,3.7,163.86
Vacuum Cleaner,Cat2,0.36,0.97,3.57,8.28,1.73,6.81,2.93,6.46,3.61,209.68
Laptop,Cat3,4.79,3.5,3.93,0.64,2.14,2.48,3.16,3.64,4.09,448.02
Vacuum Cleaner,Cat2,4.65,2.4,8.46,1.97,0.22,5.17,4.67,6.17,6.3,683.25
Iron,Cat2,6.63,8.18,2.91,9.69,7.07,1.4,7.55,7.03,2.07,486.5
Air Conditioner,Cat1,8.19,4.86,1.76,6.79,3.85,6.62,6.92,3.46,1.66,499.69
Microwave Oven,Cat2,9.3,8.22,1.25,8.95,9.41,5.0,0.44,3.79,1.88,528.88
Washing Machine,Cat1,8.31,1.03,4.14,0.46,6.71,1.69,1.17,1.85,4.59,630.86
Audio Equipment,Cat4,7.88,1.1,0.47,5.81,1.6,3.18,7.36,7.68,7.14,413.09
Fridge,Cat1,3.25,4.29,2.06,7.09,6.67,1.06,1.37,9.6,6.1,272.64
Audio Equipment,Cat4,3.52,4.73,3.76,4.92,6.58,3.59,0.49,8.27,1.5,377.29
Stove,Cat1,2.33,2.46,6.34,8.02,1.39,7.93,2.11,8.57,6.94,455.77
Air Conditioner,Cat1,2.85,0.21,0.16,6.82,5.67,1.49,7.63,2.68,2.4,148.84
iPhone 11,Cat3,0.98,1.94,4.65,3.39,7.58,2.62,7.07,6.88,9.58,298.57
Smartphone,Cat3,7.63,9.64,3.8,1.23,0.86,4.47,9.58,7.33,9.66,584.13
Microwave Oven,Cat2,3.14,8.59,8.68,5.54,7.79,9.5,2.13,1.63,2.45,624.58
iPhone 11,Cat3,3.64,7.98,7.44,7.76,4.75,8.15,3.12,0.75,4.13,582.29
Air Conditioner,Cat1,4.82,9.59,4.75,9.09,3.8,3.9,3.16,0.42,2.11,496.97
Laptop,Cat3,2.65,9.22,7.71,1.63,3.41,8.28,1.09,0.37,7.23,548.8
Washing Machine,Cat1,1.92,2.63,7.03,7.81,6.66,4.01,2.81,1.75,3.72,472.69
Microwave Oven,Cat2,1.01,5.39,8.16,5.46,6.1,9.71,0.87,1.78,5.73,490.2
Smartphone,Cat3,9.37,3.15,4.05,4.85,6.18,3.57,7.1,0.7,9.73,679.37
Microwave Oven,Cat2,3.79,2.85,9.61,8.51,1.65,9.6,7.25,7.13,3.16,702.97
Iron,Cat2,2.62,6.0,1.42,7.63,5.46,0.57,4.77,1.77,5.21,208.35
Tablet,Cat3,0.35,8.16,7.67,9.16,6.47,5.92,8.95,6.85,5.62,433.04
Toaster,Cat2,6.45,6.97,1.8,1.46,5.25,0.46,8.74,8.24,2.77,417.45
Washing Machine,Cat1,5.94,1.8,3.78,3.68,5.84,2.04,9.68,2.47,6.36,495.56
iPhone 11,Cat3,1.22,9.8,0.65,6.83,3.04,1.63,2.04,3.87,7.63,100.46
Laptop,Cat3,8.49,8.49,6.43,5.33,4.2,3.95,3.53,0.5,5.06,766.69
TV,Cat4,2.96,4.36,6.3,8.69,4.68,7.64,4.97,5.81,9.0,485.71
Speaker,Cat4,9.86,7.11,7.69,3.04,9.45,4.31,9.5,3.11,8.01,900.81
Fridge,Cat1,3.16,9.69,6.5,7.48,6.94,2.4,7.92,5.86,9.53,509.24
Stove,Cat1,1.73,0.45,6.48,9.25,8.31,6.58,3.45,6.74,9.33,432.71
Air Conditioner,Cat1,5.63,7.76,9.62,4.59,6.61,8.35,6.29,4.1,9.57,796.78
Tablet,Cat3,8.6,9.07,0.59,8.36,0.42,9.11,1.31,7.93,1.27,459.55
Monitor,Cat4,2.29,6.63,8.66,4.67,9.27,6.81,1.83,4.19,6.35,580.59
TV,Cat4,1.76,8.87,7.42,8.5,7.83,8.42,4.86,2.65,7.05,489.4
Tablet,Cat3,4.14,2.4,1.9,2.67,8.7,7.21,4.32,6.49,2.93,306.86
iPhone 11,Cat3,8.21,4.05,7.85,4.33,1.32,7.23,0.38,4.31,3.7,826.49
Vacuum Cleaner,Cat2,6.25,3.29,5.08,7.54,5.34,9.07,0.24,7.98,9.15,581.42
Vacuum Cleaner,Cat2,3.24,2.1,7.1,4.77,6.4,7.01,0.68,3.8,0.68,541.05
Stove,Cat1,6.4,9.32,0.13,5.56,8.37,4.21,2.7,7.14,9.37,326.97
iPhone 11,Cat3,5.51,1.92,4.31,8.26,3.0,4.76,2.29,9.35,7.68,502.9
Vacuum Cleaner,Cat2,8.33,8.59,2.71,7.89,1.51,7.98,1.15,2.73,9.18,559.6
Fridge,Cat1,1.37,5.95,1.05,9.56,8.93,3.4,3.09,1.51,6.68,127.17
Iron,Cat2,8.97,4.87,0.21,0.56,5.0,4.45,2.87,2.35,6.98,454.95
Laptop,Cat3,0.65,2.05,2.03,5.29,4.65,7.44,9.39,7.16,0.47,142.09
TV,Cat4,7.05,2.94,3.15,8.02,4.23,7.72,7.83,7.99,0.38,517.08
Smartphone,Cat3,2.22,6.21,2.7,7.4,5.2,1.09,7.01,7.97,9.9,257.4
Laptop,Cat3,5.24,2.36,3.81,8.34,0.7,0.15,8.88,0.61,1.41,462.98
Monitor,Cat4,0.31,7.86,8.66,4.42,4.19,1.84,4.41,3.66,2.04,483.84
Laptop,Cat3,8.7,6.83,1.24,0.21,2.84,7.84,5.5,1.4,0.98,498.02
Iron,Cat2,2.58,3.66,2.35,2.31,9.09,6.79,9.9,4.82,6.32,255.04
Smartphone,Cat3,7.01,1.95,9.76,5.66,9.51,9.82,1.13,9.14,2.81,868.83
iPhone 11,Cat3,3.44,4.91,4.12,2.08,5.58,8.64,5.31,8.99,1.49,392.83
Laptop,Cat3,2.55,5.37,3.29,2.03,2.71,7.48,1.67,7.27,8.41,304.83
Speaker,Cat4,4.71,5.5,3.73,3.08,1.67,6.95,0.61,8.64,0.16,434.59
Washing Machine,Cat1,7.06,7.41,5.1,9.05,3.76,7.56,2.05,1.71,6.36,624.6
Stove,Cat1,5.37,6.87,4.09,3.61,8.64,5.46,3.95,1.56,2.73,487.17
Audio Equipment,Cat4,6.88,7.05,7.08,9.14,3.84,2.23,1.47,8.35,6.89,721.54
Speaker,Cat4,5.22,0.7,9.99,8.31,2.83,6.7,0.51,5.09,2.43,792.33
iPhone 11,Cat3,7.28,5.75,1.42,4.45,4.84,5.36,0.28,5.26,5.75,437.26
TV,Cat4,2.05,9.05,1.68,5.2,4.53,0.87,0.4,7.99,3.14,196.01
Vacuum Cleaner,Cat2,4.59,0.24,5.37,1.43,6.94,9.53,5.19,0.22,3.7,513.68
Toaster,Cat2,3.0,7.1,4.3,8.49,4.9,3.3,8.91,4.97,1.65,382.0
Washing Machine,Cat1,7.63,8.86,6.55,7.33,1.81,7.14,0.46,8.3,3.61,731.1
Vacuum Cleaner,Cat2,8.42,1.42,0.55,4.97,5.32,9.86,4.21,7.44,1.07,444.27
Microwave Oven,Cat2,0.88,9.07,8.36,2.12,5.43,5.26,8.57,9.92,4.49,496.55
Washing Machine,Cat1,0.99,0.52,0.48,8.11,9.76,2.61,1.73,8.01,1.18,74.85
Stove,Cat1,7.97,8.19,3.41,1.69,4.93,8.49,4.52,5.02,5.8,579.24
Smartphone,Cat3,1.02,1.48,3.71,7.94,7.84,3.71,0.27,0.72,3.75,249.93
Speaker,Cat4,4.73,4.41,9.56,7.03,8.09,7.01,7.84,8.46,3.33,747.42
Audio Equipment,Cat4,9.76,9.86,9.83,6.72,0.78,1.98,6.86,1.72,5.99,1011.97
Smartphone,Cat3,4.02,5.64,8.5,5.87,6.23,3.14,8.08,0.22,3.32,656.34
Smartphone,Cat3,0.14,8.69,1.98,4.77,9.26,0.76,1.63,7.91,6.17,118.09
Air Conditioner,Cat1,1.0,8.01,9.09,4.91,5.6,1.67,1.68,5.75,9.13,540.89
Toaster,Cat2,5.81,1.52,5.07,3.08,5.08,1.99,2.9,7.74,4.35,558.11
Speaker,Cat4,9.65,6.22,8.59,6.57,7.38,4.1,2.51,2.71,3.26,938.17
iPhone 11,Cat3,3.14,2.15,8.09,2.87,7.52,8.58,5.53,3.78,8.49,589.25
Toaster,Cat2,5.93,2.98,5.16,5.04,5.67,4.01,7.14,8.62,0.52,569.72
Laptop,Cat3,0.29,9.68,0.47,7.96,3.61,0.31,7.94,7.64,2.8,45.04
Toaster,Cat2,8.27,2.51,4.64,9.24,3.03,9.83,2.4,8.24,5.73,656.63
Toaster,Cat2,9.94,6.89,1.13,3.91,6.16,9.02,6.01,8.59,0.2,553.16
Monitor,Cat4,1.98,4.77,6.91,6.31,7.84,8.23,9.08,1.59,6.32,470.53
Stove,Cat1,2.49,6.92,5.93,0.49,2.32,8.28,9.33,5.73,3.59,444.24
Toaster,Cat2,2.69,0.24,1.32,0.39,6.77,3.85,8.59,0.91,6.82,203.21
Monitor,Cat4,0.59,0.45,1.72,5.35,8.22,0.19,4.89,0.8,1.56,121.53
Microwave Oven,Cat2,5.56,5.8,0.56,9.63,5.63,7.24,7.13,8.42,4.62,306.74
Laptop,Cat3,4.07,8.03,8.71,1.25,1.05,0.23,7.36,8.61,1.79,671.29
Audio Equipment,Cat4,0.41,9.53,8.89,0.66,6.63,2.02,8.25,3.26,0.11,502.07
iPhone 11,Cat3,7.62,4.99,2.3,9.2,1.08,3.65,7.06,4.55,7.21,500.59
Microwave Oven,Cat2,7.65,6.23,6.41,4.98,8.81,5.93,2.77,3.94,7.45,723.15
Microwave Oven,Cat2,1.02,7.33,0.78,3.31,4.55,7.04,6.04,1.22,8.65,96.31
Smartphone,Cat3,4.24,6.33,6.91,2.32,0.76,9.49,8.91,1.13,2.54,582.4
Toaster,Cat2,4.89,5.43,4.09,4.54,8.7,5.53,8.77,7.63,1.33,462.76
Tablet,Cat3,7.3,4.83,0.68,3.75,8.28,6.25,3.63,9.88,7.79,398.13
Vacuum Cleaner,Cat2,2.26,1.01,8.09,9.53,1.8,7.88,1.21,9.31,8.44,545.27
Tablet,Cat3,3.4,6.5,6.89,0.81,3.75,9.39,2.92,7.22,1.17,540.19
iPhone 11,Cat3,3.34,1.56,4.68,5.84,9.06,8.17,9.15,9.77,1.26,416.05
Air Conditioner,Cat1,4.25,6.95,9.46,4.71,5.07,3.4,0.83,3.38,8.8,719.82
Fridge,Cat1,2.24,5.57,0.83,6.14,9.45,2.96,9.86,4.75,0.33,157.92
Washing Machine,Cat1,2.01,4.1,6.36,0.73,4.46,2.82,2.31,2.02,2.86,442.0
Laptop,Cat3,3.74,6.82,5.02,2.25,9.4,2.89,0.54,7.58,2.27,456.84
Monitor,Cat4,8.46,2.96,4.31,3.67,1.66,3.52,4.28,5.86,7.7,648.41
Laptop,Cat3,0.46,3.69,4.63,0.56,9.98,9.26,9.75,7.48,7.48,273.11
Smartphone,Cat3,1.28,7.08,2.3,4.22,7.42,6.97,2.67,0.61,9.29,190.42
Iron,Cat2,7.54,7.15,6.83,9.27,1.03,0.7,6.44,3.22,2.55,740.57
Speaker,Cat4,3.28,1.4,7.76,0.59,2.42,5.5,2.28,4.83,0.31,577.89
Iron,Cat2,8.18,2.07,9.3,3.62,1.8,0.61,8.47,8.94,1.18,901.46
iPhone 11,Cat3,6.39,0.82,5.71,2.74,5.81,9.94,6.48,4.6,1.49,620.66
Microwave Oven,Cat2,0.41,4.35,1.88,8.92,0.92,8.4,8.55,7.49,9.98,123.54
Vacuum Cleaner,Cat2,8.59,6.48,2.64,4.21,1.32,7.11,4.88,0.68,7.4,567.4
TV,Cat4,8.93,4.12,9.32,5.81,1.74,8.42,9.71,2.08,3.8,940.7
Tablet,Cat3,1.79,2.45,2.4,9.17,7.64,3.69,7.96,8.51,2.74,218.13
Audio Equipment,Cat4,6.16,2.91,7.88,4.92,2.22,8.76,1.42,9.37,9.54,726.76
Toaster,Cat2,8.94,1.81,2.87,0.21,2.85,3.55,0.59,2.93,4.0,594.2
Smartphone,Cat3,1.36,6.56,5.24,2.28,4.3,4.12,1.77,5.44,4.53,351.49
Laptop,Cat3,8.35,8.26,3.92,7.02,9.67,4.59,9.54,7.03,7.01,625.28
Speaker,Cat4,5.97,8.9,1.04,2.83,7.35,2.04,7.96,1.9,5.08,354.31
Toaster,Cat2,0.38,8.68,1.31,0.26,3.15,3.24,5.53,8.42,1.01,93.94
Stove,Cat1,3.05,3.02,3.17,8.4,8.13,5.63,8.57,5.17,3.08,321.67
Air Conditioner,Cat1,3.41,0.93,7.13,4.15,6.25,8.03,8.91,7.77,2.47,550.36
Iron,Cat2,0.15,7.01,0.8,0.48,8.81,3.82,5.42,3.5,7.95,54.45
Monitor,Cat4,3.82,2.92,6.45,4.53,0.67,3.24,8.66,4.53,0.17,535.04
Fridge,Cat1,9.12,4.96,6.57,8.57,9.89,6.62,9.66,9.65,3.39,803.25
Washing Machine,Cat1,4.39,6.42,1.96,9.4,2.4,1.0,1.06,2.25,4.97,324.46
Audio Equipment,Cat4,6.6,0.28,0.67,6.31,4.3,1.31,2.3,4.58,0.66,360.44
TV,Cat4,3.6,8.07,5.93,8.12,1.81,0.16,1.03,9.82,2.67,499.28
Air Conditioner,Cat1,4.71,3.51,0.56,9.37,8.45,1.32,9.55,4.09,7.67,263.59
TV,Cat4,6.48,5.31,4.07,2.81,8.45,7.86,5.39,6.58,9.88,539.78
Fridge,Cat1,2.07,0.45,1.51,2.18,7.67,6.25,9.65,1.71,4.31,183.1
Vacuum Cleaner,Cat2,8.36,1.47,7.17,3.79,5.22,9.22,5.45,5.07,5.33,796.04
Stove,Cat1,8.51,5.01,6.61,4.53,5.46,0.84,7.41,9.09,0.42,775.28
Smartphone,Cat3,4.8,2.23,3.59,0.45,6.52,0.65,2.0,2.13,5.39,429.59
Iron,Cat2,8.23,9.26,8.91,2.41,9.73,2.43,9.88,2.06,0.65,887.28
Fridge,Cat1,0.59,6.27,8.64,2.78,3.01,9.05,6.87,7.43,1.45,495.73
Smartphone,Cat3,5.25,1.84,7.26,9.73,7.46,6.8,4.3,2.22,0.13,648.25
Laptop,Cat3,9.49,4.45,0.66,4.9,8.54,9.26,1.68,8.5,9.69,504.51
iPhone 11,Cat3,4.38,7.51,6.17,1.78,3.65,4.61,6.17,6.02,9.71,550.25
Audio Equipment,Cat4,6.31,0.63,8.03,6.89,0.99,1.59,4.87,0.64,1.88,740.71
Audio Equipment,Cat4,2.9,6.24,1.19,9.29,9.41,5.48,0.43,0.26,3.99,210.06
Fridge,Cat1,8.59,7.79,9.68,4.77,5.48,8.11,5.49,6.04,5.49,945.43
iPhone 11,Cat3,2.39,7.14,7.08,2.49,9.39,1.13,5.25,2.61,6.63,501.03
Washing Machine,Cat1,9.6,5.23,4.31,5.31,8.54,3.43,0.6,2.69,1.56,705.82
Fridge,Cat1,9.37,8.05,0.27,6.73,2.77,5.38,1.5,5.36,3.51,479.62
Speaker,Cat4,2.66,9.19,7.3,7.08,9.38,9.35,3.22,9.36,1.85,527.41
Air Conditioner,Cat1,6.24,4.29,3.96,3.06,0.69,4.36,0.83,0.66,4.54,521.34
Iron,Cat2,4.58,1.95,5.6,6.58,9.51,1.28,1.71,8.66,1.2,526.37
Iron,Cat2,6.22,6.9,6.82,4.8,1.25,7.13,4.29,0.42,9.29,675.15
Toaster,Cat2,0.38,3.7,8.26,3.55,7.51,7.19,0.87,5.9,4.97,463.61
TV,Cat4,0.74,5.63,1.18,5.17,5.29,1.76,6.68,5.95,5.66,102.92
Vacuum Cleaner,Cat2,4.72,9.41,5.06,1.73,6.75,1.24,8.46,7.68,2.16,508.55
Fridge,Cat1,3.41,4.31,5.01,4.01,2.1,2.22,3.28,8.32,7.56,438.53
Stove,Cat1,0.49,9.63,7.58,5.4,3.84,3.77,4.38,3.16,0.95,435.86
Tablet,Cat3,3.64,2.54,7.13,8.73,4.77,7.96,8.62,7.02,8.92,562.56
Air Conditioner,Cat1,8.22,4.77,8.33,1.78,2.52,2.09,9.17,6.06,3.91,853.04
Fridge,Cat1,3.79,0.6,0.59,8.7,3.45,0.95,4.28,3.62,1.56,218.25
TV,Cat4,8.01,4.73,9.24,7.85,9.3,4.23,9.21,3.86,9.49,891.59
Laptop,Cat3,9.53,3.68,2.9,2.83,3.13,2.48,3.42,5.81,0.76,625.85
Iron,Cat2,9.03,0.63,2.04,0.87,4.97,6.14,0.52,3.77,7.07,553.55
Fridge,Cat1,1.96,3.49,8.84,1.57,1.53,4.74,4.19,8.51,4.45,572.07
Iron,Cat2,1.85,8.0,7.22,1.21,4.96,1.05,6.69,3.24,0.91,482.43
Monitor,Cat4,6.15,3.2,5.74,2.6,0.37,1.22,0.28,9.73,4.24,611.6
Smartphone,Cat3,1.91,7.2,4.48,2.3,2.88,2.89,8.39,9.94,8.22,338.11
Audio Equipment,Cat4,1.78,1.2,7.83,8.04,1.66,1.69,5.85,4.99,7.53,507.74
iPhone 11,Cat3,6.26,9.02,9.95,8.35,4.47,2.7,8.53,4.4,6.65,846.0
Vacuum Cleaner,Cat2,8.79,9.44,8.13,0.21,9.02,2.99,5.89,9.42,9.1,873.11
TV,Cat4,7.83,8.43,0.71,3.37,8.34,4.79,0.33,5.11,0.84,427.81
Microwave Oven,Cat2,6.88,1.31,1.37,4.57,2.66,2.83,3.66,3.49,8.08,412.3
Iron,Cat2,9.56,6.09,2.53,4.31,0.35,9.4,3.7,2.39,0.49,608.97
Fridge,Cat1,6.69,4.17,2.68,3.11,1.92,8.32,5.07,1.53,8.74,474.89
TV,Cat4,8.15,8.78,5.74,9.53,6.6,8.08,9.02,4.81,7.18,713.29
Audio Equipment,Cat4,8.96,1.65,7.86,7.71,8.34,3.13,6.29,8.76,5.76,862.53
Air Conditioner,Cat1,7.93,9.36,4.53,5.04,8.66,6.81,4.43,9.01,1.21,637.98
TV,Cat4,5.92,5.09,9.58,0.19,5.73,9.33,1.4,8.38,1.77,807.36
Vacuum Cleaner,Cat2,6.51,4.51,6.79,2.55,9.93,5.42,1.17,9.22,6.37,686.51
