Item,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g)
Sony PlayStation 5,3.55,1.94,2.51,0.93,0.07,0.09,1.06,0.57,2.42
HP Spectre x360,4.81,0.43,1.54,0.96,0.07,0.06,0.88,0.86,0.62
Samsung Galaxy S20,3.55,1.33,1.69,0.87,0.06,0.02,1.42,0.83,2.23
iPhone 11,2.37,1.27,0.2,0.77,0.03,0.09,1.33,0.12,2.74
Microsoft Surface Pro,2.1,1.57,2.57,0.33,0.05,0.03,1.72,1.43,0.69
Lenovo ThinkPad X1,2.58,1.36,2.39,0.9,0.13,0.03,0.19,1.38,0.43
Sony PlayStation 5,3.3,1.38,1.47,0.33,0.12,0.06,1.6,0.34,0.85
Nikon D3500,3.3,0.31,1.59,0.46,0.16,0.09,1.55,1.33,1.97
Dell XPS 13,4.87,1.27,1.15,0.5,0.03,0.05,0.67,1.34,1.01
Raspberry Pi 4,1.14,1.33,2.81,0.27,0.07,0.06,0.58,1.44,1.04
iPad Pro,1.82,1.74,0.19,0.98,0.03,0.08,1.25,0.64,2.42
Nintendo Switch,3.02,0.36,1.52,0.74,0.09,0.03,0.24,0.75,0.32
Lenovo ThinkPad X1,2.91,0.38,1.14,0.37,0.1,0.09,0.76,1.09,1.14
Fitbit Charge,4.93,1.29,0.54,0.83,0.01,0.1,1.99,1.49,0.5
Apple Watch,0.14,0.12,2.12,0.67,0.16,0.09,1.67,0.29,1.88
LG OLED TV,0.92,1.75,1.2,0.49,0.09,0.09,0.48,0.98,0.72
Xbox Series X,2.04,0.9,2.26,0.35,0.19,0.06,0.25,1.38,0.73
Canon EOS R5,4.03,0.73,0.98,0.72,0.15,0.06,1.28,1.37,0.53
Microsoft Surface Pro,3.72,0.59,2.48,0.24,0.15,0.02,0.14,1.48,1.37
Fitbit Charge,0.63,1.58,0.61,0.53,0.1,0.07,1.31,1.1,0.79
Raspberry Pi 4,2.22,1.0,0.4,0.37,0.14,0.06,1.06,0.23,2.6
Lenovo ThinkPad X1,2.53,0.98,1.11,0.75,0.07,0.02,0.77,1.22,2.66
Fitbit Charge,3.45,1.79,0.43,0.97,0.14,0.04,1.11,1.25,1.2
Raspberry Pi 4,4.7,0.96,0.93,0.88,0.17,0.09,0.93,1.34,2.07
Lenovo ThinkPad X1,2.74,1.88,0.4,0.12,0.09,0.07,0.72,1.15,2.95
Dell XPS 13,1.01,1.58,2.95,0.87,0.07,0.1,1.98,0.66,2.4
HP Spectre x360,3.68,0.12,0.7,0.79,0.13,0.06,0.2,1.4,0.51
Sony PlayStation 5,1.67,1.48,2.34,0.92,0.1,0.04,0.52,0.89,2.13
MacBook Pro,1.52,0.28,1.56,0.93,0.18,0.04,0.9,1.19,2.79
Nikon D3500,4.37,1.06,1.46,0.67,0.02,0.08,0.88,0.29,1.78
Google Pixel 6,1.54,0.84,1.29,0.27,0.12,0.06,0.94,0.64,1.92
Amazon Kindle,0.22,0.3,2.78,0.14,0.07,0.03,0.24,1.29,1.11
Samsung Galaxy S20,2.8,1.0,1.38,0.42,0.06,0.09,0.97,1.02,0.94
OnePlus 9 Pro,0.66,0.41,0.49,0.42,0.12,0.09,1.9,0.48,2.18
Apple Watch,2.59,1.16,2.36,0.64,0.09,0.05,1.95,1.5,0.53
Fitbit Charge,3.35,0.52,0.11,0.76,0.01,0.05,0.5,0.69,2.02
Google Pixel 6,1.16,1.08,2.91,0.74,0.01,0.01,0.66,1.3,1.78
Amazon Kindle,0.28,0.32,1.99,0.81,0.16,0.06,0.23,0.13,1.35
Amazon Kindle,4.2,1.27,2.31,0.53,0.11,0.08,0.98,1.06,1.81
Xbox Series X,4.92,0.5,2.59,0.81,0.16,0.07,0.5,0.35,2.18
Amazon Kindle,4.05,0.86,2.16,0.32,0.15,0.03,0.84,0.9,1.93
Google Pixel 6,2.8,1.42,0.66,0.43,0.16,0.03,0.74,0.29,2.2
iPad Pro,2.39,0.34,0.73,0.92,0.15,0.02,1.77,0.94,0.38
Google Pixel 6,4.65,0.73,0.63,0.38,0.02,0.03,1.89,0.88,1.41
iPad Pro,3.63,0.24,2.53,0.79,0.09,0.05,0.26,0.62,0.53
OnePlus 9 Pro,4.21,1.27,0.35,0.69,0.17,0.05,1.25,1.17,2.38
MacBook Pro,4.3,1.37,0.44,0.3,0.09,0.08,0.88,1.11,2.83
Apple Watch,0.87,0.13,2.79,0.39,0.14,0.02,0.96,0.35,2.83
Xbox Series X,2.92,0.41,2.11,0.35,0.03,0.09,1.26,1.37,1.49
HP Spectre x360,2.1,0.5,0.64,0.67,0.02,0.07,0.47,0.74,1.61
Xbox Series X,4.98,1.47,2.25,0.8,0.01,0.04,1.19,0.32,1.86
MacBook Pro,1.98,0.89,2.55,0.28,0.13,0.06,1.96,0.7,1.34
Raspberry Pi 4,3.12,1.62,1.78,0.25,0.18,0.07,0.61,1.45,2.53
HP Spectre x360,0.77,0.86,0.26,0.26,0.11,0.1,1.43,0.82,1.68
Sony PlayStation 5,2.82,1.09,0.59,0.6,0.1,0.05,1.07,0.73,1.31
iPhone 11,3.3,0.62,1.12,0.82,0.06,0.1,0.59,1.37,2.21
Sony PlayStation 5,4.46,0.84,1.45,0.12,0.19,0.03,0.53,1.0,1.18
Raspberry Pi 4,0.67,1.41,1.25,0.29,0.18,0.02,1.7,0.58,2.89
iPad Pro,4.1,0.96,2.91,0.82,0.02,0.05,1.82,0.84,2.18
Dell XPS 13,0.38,0.55,2.39,0.26,0.13,0.05,1.79,1.34,0.4
LG OLED TV,2.1,0.33,0.26,0.95,0.18,0.07,0.81,1.14,2.58
Lenovo ThinkPad X1,1.3,1.93,0.49,0.53,0.02,0.03,1.26,1.4,1.27
MacBook Pro,1.29,1.08,1.95,0.85,0.2,0.04,0.35,0.49,1.26
Amazon Kindle,0.86,1.49,0.51,0.56,0.05,0.07,0.56,0.59,0.5
Nintendo Switch,1.58,1.69,0.87,0.63,0.1,0.03,1.13,0.54,2.62
Nintendo Switch,4.21,1.24,2.63,0.1,0.15,0.09,0.49,0.42,2.31
Canon EOS R5,4.05,1.15,0.44,0.63,0.17,0.05,0.62,0.9,1.99
Canon EOS R5,2.5,1.86,2.42,0.83,0.11,0.09,1.35,0.59,1.93
Microsoft Surface Pro,3.73,1.29,1.33,0.66,0.06,0.03,0.44,0.56,2.39
MacBook Pro,1.06,1.09,2.19,0.89,0.12,0.03,1.16,0.21,1.42
Apple Watch,0.62,1.51,1.15,0.72,0.12,0.08,0.57,0.95,1.29
Nikon D3500,3.95,0.65,0.22,0.91,0.03,0.09,0.72,0.28,1.04
OnePlus 9 Pro,0.46,1.03,1.27,0.26,0.09,0.1,1.04,0.96,2.48
Samsung Galaxy S20,1.99,1.42,1.37,0.42,0.13,0.05,0.24,1.26,1.88
MacBook Pro,4.65,0.32,1.91,0.24,0.1,0.09,0.59,0.64,0.66
Raspberry Pi 4,0.26,1.24,1.46,0.32,0.16,0.05,0.7,0.25,0.49
iPhone 11,3.77,1.14,1.03,0.26,0.14,0.01,1.22,1.07,1.25
Amazon Kindle,0.17,0.75,0.7,0.95,0.17,0.09,1.31,0.5,2.12
Canon EOS R5,3.84,0.98,2.69,0.89,0.16,0.05,1.14,0.7,0.4
HP Spectre x360,1.92,1.17,1.17,0.17,0.13,0.09,1.94,1.35,1.01
Microsoft Surface Pro,3.57,0.61,2.06,0.96,0.02,0.03,1.32,1.33,0.67
OnePlus 9 Pro,3.97,0.24,1.34,0.49,0.05,0.06,1.03,0.86,2.61
HP Spectre x360,3.23,0.26,1.2,0.41,0.08,0.07,1.56,0.93,0.94
Raspberry Pi 4,4.71,1.37,1.31,0.75,0.01,0.08,1.09,0.65,1.05
Samsung Galaxy S20,3.14,0.18,0.58,0.25,0.11,0.06,1.8,0.6,0.9
Apple Watch,4.98,1.47,2.5,0.77,0.13,0.02,1.95,0.59,2.47
Microsoft Surface Pro,3.42,0.32,2.08,0.65,0.15,0.05,0.35,1.13,1.06
Apple Watch,1.14,0.74,2.62,0.56,0.03,0.05,1.58,0.43,1.05
Canon EOS R5,0.16,1.4,2.99,0.25,0.12,0.01,0.97,0.4,0.73
MacBook Pro,4.65,1.99,1.0,0.62,0.19,0.08,1.69,0.13,2.72
Sony PlayStation 5,3.91,1.69,0.58,0.94,0.08,0.08,0.16,1.33,1.8
Raspberry Pi 4,2.88,0.11,0.6,0.55,0.01,0.05,0.31,0.2,0.38
Xbox Series X,3.09,1.42,1.82,0.12,0.17,0.09,1.35,0.11,1.69
Nikon D3500,1.88,1.5,1.24,0.43,0.02,0.07,0.37,1.36,1.88
HP Spectre x360,3.92,1.9,2.33,0.38,0.04,0.03,1.93,0.89,0.49
MacBook Pro,2.52,1.19,0.41,0.44,0.12,0.04,1.11,0.52,2.39
Raspberry Pi 4,3.75,1.54,2.34,0.77,0.13,0.05,1.07,0.82,1.94
Samsung Galaxy S20,2.08,0.57,2.74,0.39,0.09,0.05,0.7,1.17,0.85
Dell XPS 13,4.9,1.38,2.6,0.35,0.14,0.05,0.35,0.76,2.5
Xbox Series X,3.97,1.48,2.07,0.7,0.05,0.06,1.21,0.77,1.0
Microsoft Surface Pro,1.18,1.53,0.23,0.36,0.13,0.02,0.52,1.5,2.86
Fitbit Charge,4.88,1.12,0.81,0.79,0.14,0.04,0.46,1.4,1.82
Dell XPS 13,2.76,0.11,2.47,0.3,0.13,0.02,0.96,0.34,1.02
Fitbit Charge,2.36,0.43,0.58,0.78,0.09,0.03,1.07,0.99,1.92
HP Spectre x360,3.15,1.25,2.17,0.63,0.17,0.04,1.21,1.3,0.19
Raspberry Pi 4,0.3,0.35,2.54,0.28,0.06,0.01,0.99,0.32,2.27
Fitbit Charge,4.04,0.78,1.61,0.41,0.05,0.06,0.11,0.37,1.21
Xbox Series X,0.43,1.9,1.66,0.11,0.17,0.04,0.95,1.5,1.13
OnePlus 9 Pro,0.67,0.13,1.02,0.8,0.18,0.08,0.31,1.48,1.87
Lenovo ThinkPad X1,0.57,0.21,0.44,0.74,0.08,0.02,0.34,1.18,1.85
HP Spectre x360,2.17,1.51,2.1,0.12,0.06,0.04,0.59,0.43,1.38
LG OLED TV,4.18,0.92,1.66,0.84,0.04,0.09,1.72,1.29,1.74
Dell XPS 13,3.8,1.71,0.1,0.37,0.1,0.08,1.76,0.37,2.32
iPhone 11,3.32,0.15,2.86,0.89,0.07,0.09,1.73,1.42,1.14
Microsoft Surface Pro,4.18,1.53,0.55,0.36,0.02,0.01,1.22,1.05,2.79
Google Pixel 6,0.66,0.96,1.98,0.81,0.13,0.1,0.16,1.48,2.85
Apple Watch,2.61,0.42,2.95,0.91,0.07,0.09,1.39,1.47,0.8
Nikon D3500,0.82,1.44,1.29,0.47,0.15,0.07,1.92,0.88,2.57
Canon EOS R5,2.35,0.92,0.59,0.86,0.16,0.06,1.27,0.88,2.19
Xbox Series X,1.74,0.95,1.44,0.64,0.07,0.02,1.53,0.55,2.62
Sony PlayStation 5,2.87,1.49,1.14,0.25,0.04,0.04,1.0,0.48,2.23
Dell XPS 13,1.22,1.18,0.42,0.9,0.04,0.01,0.57,0.17,0.25
Dell XPS 13,1.06,0.42,1.56,0.42,0.05,0.02,1.94,1.17,0.92
OnePlus 9 Pro,3.5,0.71,0.29,0.46,0.17,0.06,0.12,0.81,0.94
Google Pixel 6,2.5,1.13,2.28,0.99,0.08,0.09,0.36,0.72,1.59
Apple Watch,2.19,1.79,2.03,0.15,0.04,0.09,1.72,0.95,0.87
Lenovo ThinkPad X1,0.48,1.1,1.79,0.67,0.1,0.07,0.92,0.53,2.35
iPhone 11,2.48,0.44,2.5,0.43,0.06,0.04,1.0,0.52,2.95
HP Spectre x360,1.74,1.79,1.51,0.61,0.02,0.06,1.42,0.63,0.85
iPad Pro,3.76,0.71,2.66,0.68,0.05,0.02,0.25,0.47,0.12
Google Pixel 6,1.61,1.2,0.35,0.37,0.03,0.04,1.92,0.99,1.32
iPhone 11,2.58,0.38,1.12,0.67,0.12,0.02,0.49,0.55,2.87
Lenovo ThinkPad X1,1.15,0.85,1.48,0.8,0.08,0.04,0.22,0.82,0.14
Xbox Series X,4.87,1.13,2.27,0.72,0.16,0.05,2.0,0.38,1.41
iPad Pro,3.39,1.26,2.2,0.47,0.04,0.04,0.48,0.8,0.46
iPad Pro,3.21,1.58,1.07,0.83,0.06,0.02,0.51,0.36,0.26
Amazon Kindle,2.57,0.59,2.64,0.16,0.16,0.1,1.99,0.98,2.14
iPad Pro,4.51,1.04,0.31,0.78,0.13,0.01,0.42,0.27,2.49
HP Spectre x360,4.66,1.36,0.92,0.62,0.18,0.06,0.65,0.8,2.71
Samsung Galaxy S20,4.87,0.14,2.07,0.4,0.19,0.05,0.16,1.0,1.55
OnePlus 9 Pro,2.96,1.31,1.93,0.56,0.09,0.05,1.92,0.18,0.53
LG OLED TV,4.01,0.59,0.36,0.54,0.11,0.06,0.37,0.41,1.62
Amazon Kindle,3.45,0.21,1.18,0.87,0.06,0.06,0.83,0.96,1.06
Sony PlayStation 5,0.19,1.81,1.55,0.28,0.17,0.05,1.84,0.69,1.4
HP Spectre x360,3.32,0.81,2.66,0.51,0.05,0.07,1.21,0.18,2.53
Lenovo ThinkPad X1,4.47,1.03,1.9,0.88,0.09,0.08,1.07,0.81,1.06
Dell XPS 13,0.38,0.55,1.69,0.82,0.16,0.03,1.99,0.12,1.86
iPhone 11,1.08,0.41,2.71,0.6,0.08,0.07,1.21,1.36,0.73
Dell XPS 13,2.81,0.13,0.72,0.99,0.18,0.03,0.55,0.53,2.34
Xbox Series X,2.51,1.0,2.61,0.89,0.19,0.03,0.71,1.43,2.91
Samsung Galaxy S20,1.56,1.68,1.35,0.59,0.08,0.04,0.69,0.24,0.6
Apple Watch,0.33,1.65,0.89,0.87,0.16,0.01,1.07,0.6,1.72
Nintendo Switch,4.44,0.3,1.06,0.74,0.16,0.04,1.05,0.17,2.7
Dell XPS 13,1.19,0.36,0.92,0.56,0.03,0.03,1.61,1.49,2.1
Lenovo ThinkPad X1,3.63,0.34,1.66,0.65,0.08,0.02,0.68,0.42,2.53
MacBook Pro,0.46,0.99,2.87,0.16,0.13,0.04,0.2,0.8,0.76
Microsoft Surface Pro,1.68,0.69,0.57,0.96,0.08,0.02,0.29,0.89,1.11
iPad Pro,2.52,0.38,2.27,0.95,0.14,0.08,1.76,0.24,1.47
LG OLED TV,2.61,1.47,1.01,1.0,0.13,0.04,0.81,0.28,1.8
Nikon D3500,0.26,1.63,1.74,0.43,0.14,0.08,1.33,1.28,0.83
Sony PlayStation 5,2.31,0.19,2.49,0.4,0.09,0.07,1.59,0.35,1.73
Apple Watch,0.18,0.12,1.68,0.11,0.02,0.08,2.0,0.19,0.75
Dell XPS 13,1.56,1.71,1.47,0.98,0.14,0.1,1.84,0.96,2.72
Samsung Galaxy S20,1.45,1.56,0.79,0.71,0.12,0.05,0.43,1.1,1.84
Amazon Kindle,2.1,0.93,0.39,0.75,0.04,0.07,1.64,0.61,1.18
OnePlus 9 Pro,2.55,1.56,0.53,0.4,0.05,0.1,1.37,0.22,2.4
Fitbit Charge,2.93,0.55,1.13,0.29,0.09,0.01,1.35,1.25,2.79
Google Pixel 6,4.04,1.75,1.31,0.8,0.15,0.06,1.06,0.17,1.78
Sony PlayStation 5,1.92,0.67,2.11,0.68,0.16,0.04,0.77,1.0,2.44
iPhone 11,2.41,0.95,1.12,0.61,0.08,0.09,0.67,0.76,2.52
Microsoft Surface Pro,3.39,1.86,0.26,0.58,0.15,0.05,1.77,0.32,1.26
Lenovo ThinkPad X1,1.55,0.14,2.71,0.69,0.08,0.09,0.25,0.15,0.23
Samsung Galaxy S20,2.42,1.16,1.16,0.75,0.07,0.09,1.15,0.35,2.53
iPhone 11,0.81,1.28,2.03,0.6,0.08,0.08,0.6,0.36,2.85
iPhone 11,2.18,1.61,0.2,0.61,0.18,0.03,0.46,0.55,2.78
Google Pixel 6,3.73,1.82,0.79,0.31,0.06,0.02,1.59,0.88,1.88
LG OLED TV,2.46,0.87,2.52,0.65,0.18,0.07,0.61,0.33,0.27
Raspberry Pi 4,2.68,1.89,0.81,0.1,0.09,0.05,0.64,0.21,2.16
OnePlus 9 Pro,1.1,1.99,0.37,0.52,0.05,0.04,0.54,1.28,2.43
Amazon Kindle,3.62,1.87,0.91,0.93,0.2,0.04,1.72,0.95,1.17
Fitbit Charge,2.28,1.62,0.15,0.47,0.09,0.1,0.44,0.76,1.77
Apple Watch,2.71,0.71,2.59,0.9,0.04,0.09,1.76,0.47,1.52
OnePlus 9 Pro,0.17,0.78,1.78,0.57,0.14,0.1,0.42,0.99,0.73
Dell XPS 13,2.0,1.07,2.08,0.75,0.01,0.02,1.8,0.27,0.91
Fitbit Charge,1.09,0.74,2.11,0.53,0.08,0.07,1.55,0.77,0.6
Fitbit Charge,0.84,0.44,2.32,0.19,0.19,0.07,1.32,1.2,1.63
Nintendo Switch,3.77,1.17,1.98,0.89,0.18,0.04,1.82,0.44,0.94
Nikon D3500,3.48,0.76,0.62,0.53,0.04,0.05,0.72,0.77,2.94
Nikon D3500,4.1,1.02,2.75,0.81,0.04,0.07,1.73,1.18,1.39
Lenovo ThinkPad X1,2.75,0.59,0.29,0.44,0.13,0.09,1.49,0.41,0.95
Sony PlayStation 5,4.47,0.19,1.27,0.8,0.14,0.09,0.62,1.03,1.09
Microsoft Surface Pro,4.25,1.1,2.9,1.0,0.05,0.06,0.61,1.43,2.18
Nintendo Switch,2.25,1.79,1.6,0.86,0.15,0.09,0.57,0.81,0.22
Nikon D3500,0.86,1.94,0.64,0.11,0.19,0.06,1.36,0.23,1.57
OnePlus 9 Pro,0.18,1.9,1.12,0.32,0.08,0.02,1.01,0.28,0.72
Samsung Galaxy S20,1.15,1.0,0.68,0.6,0.06,0.01,0.93,0.43,1.17
LG OLED TV,3.29,1.7,0.9,0.83,0.17,0.02,1.11,1.48,0.99
Apple Watch,4.45,0.22,2.82,0.23,0.16,0.09,1.84,0.29,1.44
Samsung Galaxy S20,1.8,0.13,1.45,0.49,0.05,0.08,1.28,1.16,2.78
Sony PlayStation 5,2.63,0.91,0.15,0.24,0.12,0.01,1.58,1.49,1.21
Lenovo ThinkPad X1,1.49,1.99,2.67,0.62,0.17,0.04,0.27,0.48,2.31
Dell XPS 13,2.04,0.14,2.16,0.51,0.14,0.04,1.37,0.67,0.61
Nikon D3500,4.04,1.13,0.51,0.59,0.1,0.04,0.16,0.76,0.2
iPhone 11,0.19,0.48,1.24,0.19,0.17,0.07,0.52,0.45,2.96
Raspberry Pi 4,4.5,1.62,0.79,0.3,0.18,0.08,1.27,1.22,0.37
iPhone 11,4.81,1.78,1.95,0.91,0.04,0.04,1.64,1.42,1.25
HP Spectre x360,0.47,1.8,1.4,0.53,0.16,0.05,1.93,1.21,1.34
Xbox Series X,0.92,0.82,1.89,0.83,0.17,0.08,0.44,1.25,1.37
Nintendo Switch,2.4,1.58,0.76,0.66,0.08,0.07,0.77,1.43,1.33
iPad Pro,4.48,1.36,0.53,0.9,0.15,0.03,0.85,1.48,1.42
Dell XPS 13,1.2,0.32,2.38,0.88,0.07,0.08,1.97,1.29,2.57
Dell XPS 13,1.67,1.42,2.95,0.77,0.03,0.01,1.45,0.95,2.12
Fitbit Charge,4.99,0.66,1.64,0.68,0.09,0.07,0.86,0.43,0.5
MacBook Pro,0.26,1.74,0.82,0.66,0.02,0.05,1.21,0.26,1.02
MacBook Pro,2.37,0.25,2.41,0.21,0.05,0.05,1.15,0.44,2.16
Fitbit Charge,2.7,1.31,1.79,0.91,0.05,0.03,0.15,0.56,1.36
iPad Pro,1.29,0.29,1.39,0.65,0.07,0.07,1.43,0.8,0.91
Amazon Kindle,4.74,1.32,1.47,0.47,0.12,0.06,0.79,1.35,2.89
iPad Pro,1.18,0.11,0.21,0.9,0.16,0.05,1.3,1.19,2.01
LG OLED TV,2.65,0.12,1.33,0.54,0.03,0.03,1.4,0.47,0.93
Sony PlayStation 5,0.68,0.93,2.75,0.15,0.11,0.03,1.21,0.45,2.44
Samsung Galaxy S20,4.47,1.82,2.43,0.6,0.14,0.09,1.2,0.24,1.32
Microsoft Surface Pro,0.86,0.15,1.25,0.22,0.17,0.06,0.54,0.59,1.29
MacBook Pro,4.0,1.34,1.0,0.49,0.14,0.02,1.12,1.45,1.87
OnePlus 9 Pro,1.0,1.1,2.36,0.28,0.08,0.01,1.76,1.08,2.65
iPad Pro,2.07,1.77,1.99,0.63,0.06,0.06,1.08,1.2,2.25
MacBook Pro,3.4,0.29,2.24,0.24,0.14,0.01,0.18,0.51,2.65
Microsoft Surface Pro,2.05,0.36,2.13,0.41,0.06,0.01,1.7,1.09,1.23
LG OLED TV,4.02,0.32,2.59,0.81,0.19,0.08,0.59,0.33,1.76
iPhone 11,2.14,0.88,0.27,0.13,0.01,0.04,1.51,0.37,1.84
Canon EOS R5,1.91,1.24,1.87,0.89,0.05,0.07,0.75,0.95,2.73
Lenovo ThinkPad X1,2.34,0.31,2.56,0.77,0.13,0.05,0.41,1.47,2.59
Google Pixel 6,4.67,1.89,1.96,0.15,0.02,0.01,1.92,1.46,2.1
Dell XPS 13,3.07,0.49,1.73,0.62,0.06,0.04,0.7,0.72,0.34
Dell XPS 13,1.74,1.78,0.14,0.39,0.08,0.07,0.37,0.2,1.42
Dell XPS 13,0.82,0.7,2.77,0.48,0.12,0.09,1.63,1.08,2.29
Dell XPS 13,3.79,0.36,0.66,0.11,0.12,0.05,0.28,1.04,1.45
Canon EOS R5,2.49,0.97,2.48,0.19,0.03,0.07,1.88,0.11,0.78
HP Spectre x360,0.89,0.74,0.25,0.25,0.19,0.05,1.83,1.03,0.58
Canon EOS R5,0.42,1.02,0.62,0.54,0.12,0.04,0.96,0.34,0.73
Nikon D3500,4.77,0.98,0.15,0.28,0.09,0.02,1.75,0.76,0.94
Sony PlayStation 5,0.36,0.95,2.53,0.8,0.09,0.04,1.24,1.11,2.96
Sony PlayStation 5,2.46,1.18,0.31,0.2,0.18,0.09,1.2,0.17,1.12
iPhone 11,0.13,0.77,0.45,0.15,0.05,0.02,0.13,0.79,0.69
Samsung Galaxy S20,1.18,0.47,1.79,0.3,0.18,0.09,1.79,0.76,2.91
Nikon D3500,0.36,0.75,1.5,0.3,0.05,0.1,0.48,0.23,2.82
Nikon D3500,1.12,1.94,2.04,0.57,0.2,0.06,0.23,1.14,0.57
Nintendo Switch,4.11,1.6,2.66,0.76,0.08,0.07,0.71,1.0,0.14
iPad Pro,3.22,1.74,0.33,0.4,0.13,0.05,0.2,0.29,2.68
LG OLED TV,1.4,0.33,2.71,0.38,0.07,0.09,0.87,0.34,0.68
Microsoft Surface Pro,1.34,0.73,2.09,0.17,0.07,0.1,1.55,0.55,0.65
Nikon D3500,0.56,0.42,2.8,0.71,0.15,0.07,0.82,1.07,0.68
Dell XPS 13,3.49,1.88,1.17,0.51,0.09,0.04,0.38,0.48,0.49
Fitbit Charge,1.95,0.89,0.44,0.35,0.06,0.09,1.18,1.04,2.95
Fitbit Charge,2.62,1.88,2.36,0.53,0.17,0.01,0.73,0.72,0.33
Fitbit Charge,4.23,0.26,2.72,0.45,0.09,0.02,0.36,0.27,2.14
Apple Watch,2.43,0.29,1.91,0.3,0.03,0.05,1.7,0.32,0.35
iPhone 11,3.35,1.07,1.63,0.91,0.2,0.04,1.43,0.69,1.79
HP Spectre x360,1.72,0.58,0.69,0.11,0.15,0.04,0.36,0.67,1.79
Samsung Galaxy S20,4.33,0.92,1.6,0.59,0.03,0.04,1.03,0.31,0.13
OnePlus 9 Pro,0.64,1.32,0.95,0.66,0.14,0.05,0.93,1.06,2.86
Xbox Series X,4.51,0.35,2.36,0.7,0.07,0.09,1.75,1.16,1.04
Canon EOS R5,4.76,1.93,1.52,0.89,0.02,0.09,1.36,1.05,1.58
LG OLED TV,0.1,0.95,1.79,0.48,0.15,0.04,0.31,1.14,1.28
Sony PlayStation 5,1.59,0.99,1.6,0.95,0.11,0.06,1.12,0.33,2.82
LG OLED TV,0.65,1.19,0.16,0.86,0.15,0.09,0.34,0.66,0.44
Nikon D3500,2.94,0.39,0.7,0.17,0.07,0.09,1.5,0.59,0.9
Samsung Galaxy S20,2.77,0.53,0.19,0.39,0.03,0.08,1.51,0.6,2.14
Xbox Series X,0.93,0.72,2.82,0.93,0.02,0.04,1.8,1.42,2.77
Apple Watch,2.85,0.16,1.53,0.91,0.19,0.02,0.38,1.13,0.64
Canon EOS R5,4.29,0.9,0.95,0.85,0.04,0.08,0.94,0.29,2.45
HP Spectre x360,0.47,0.23,0.35,0.98,0.02,0.09,1.33,0.89,2.86
HP Spectre x360,4.04,0.97,2.29,0.47,0.07,0.1,1.03,1.44,1.43
Sony PlayStation 5,2.81,1.7,1.65,0.77,0.08,0.02,0.16,1.12,1.23
iPhone 11,0.96,1.85,1.45,0.76,0.12,0.02,1.15,0.22,1.25
MacBook Pro,2.7,1.51,2.0,0.55,0.18,0.08,1.28,0.44,2.88
Samsung Galaxy S20,3.77,1.49,2.17,0.3,0.09,0.1,1.37,0.38,2.53
Samsung Galaxy S20,2.66,1.34,1.96,0.62,0.11,0.05,0.58,1.06,1.54
Dell XPS 13,3.59,1.49,1.5,0.72,0.12,0.09,1.48,0.94,0.87
HP Spectre x360,3.67,1.92,2.53,0.67,0.01,0.04,1.56,0.63,2.44
MacBook Pro,4.32,0.35,1.53,0.28,0.04,0.04,1.42,0.2,2.0
Xbox Series X,3.88,0.74,1.65,0.9,0.11,0.07,0.75,0.67,1.61
Raspberry Pi 4,3.2,0.4,2.89,0.95,0.11,0.02,0.73,0.23,2.22
OnePlus 9 Pro,2.6,0.16,1.31,0.54,0.15,0.07,0.29,0.38,1.0
OnePlus 9 Pro,1.91,0.26,2.68,0.24,0.17,0.05,0.19,0.85,2.35
Fitbit Charge,0.74,1.07,2.36,0.69,0.09,0.03,0.24,0.88,2.35
iPhone 11,4.86,1.48,0.43,0.46,0.02,0.05,1.78,0.42,0.58
iPhone 11,1.88,0.79,2.9,0.74,0.08,0.05,0.52,0.82,1.04
MacBook Pro,1.36,1.6,0.77,0.72,0.02,0.06,1.33,1.43,0.2
Canon EOS R5,1.13,0.45,2.84,0.84,0.03,0.1,0.17,0.87,2.58
Lenovo ThinkPad X1,2.64,0.55,1.3,0.73,0.11,0.09,1.37,0.25,2.36
Amazon Kindle,1.42,1.36,1.93,0.75,0.08,0.08,0.23,1.4,2.74
Nikon D3500,3.02,1.29,1.82,0.38,0.17,0.08,1.08,1.14,0.65
Fitbit Charge,3.83,1.34,2.27,0.94,0.07,0.09,0.17,0.24,1.47
Sony PlayStation 5,3.32,0.14,0.96,0.39,0.16,0.07,1.21,0.13,2.32
Microsoft Surface Pro,3.75,0.99,1.11,0.42,0.14,0.01,0.77,0.12,2.88
Raspberry Pi 4,0.87,0.8,2.82,0.46,0.02,0.05,0.77,0.73,1.41
Apple Watch,2.12,1.87,1.35,0.97,0.16,0.06,1.09,1.37,0.76
HP Spectre x360,2.1,0.95,1.56,0.19,0.07,0.09,0.75,0.99,1.68
Dell XPS 13,1.91,1.58,0.12,0.68,0.02,0.04,0.85,0.98,1.6
Google Pixel 6,0.81,1.01,1.36,0.31,0.17,0.09,0.43,1.04,0.61
Nikon D3500,4.89,1.45,0.76,0.29,0.1,0.1,0.7,0.89,0.4
Raspberry Pi 4,2.58,1.8,0.49,0.1,0.09,0.1,1.53,1.22,2.35
Nintendo Switch,3.69,1.78,0.24,0.85,0.15,0.04,1.9,0.71,1.07
Apple Watch,4.98,0.99,2.86,0.42,0.13,0.08,0.93,1.43,1.75
OnePlus 9 Pro,0.45,1.34,1.33,0.97,0.2,0.09,1.32,0.84,1.44
